관측소명,Latitude,Longitude,Average,Max,Min,Stdev,,,
DMC 우방아파트,37.5818318,126.9030735,7.448843416,8.93,4.8,0.903631413,,,
SK한미주유소,,,2.323295455,7.15,0,3.152286948,,,
SK해운,,,1.89408284,6.29,0,2.732407832,,,
YMCA(강남지회),37.5106816,127.0358544,5.301533742,18.48,0,8.173474499,,,
간데메공원,37.5733686,127.0486847,5.476026765,67.5,0,2.71958978,,,
갈현초등학교,37.7711305,126.7172082,10.72007009,31.6,0.4,11.77966863,,,
갈현한솔아파트,37.6178884,126.9098358,9.192877264,29.66,0,2.900320579,,,
강남공무원아파트,37.492329,127.0755155,4.402407222,5.59,3.35,0.532407359,,,
강남순환TG옆1 (충적층),,,3.884568089,5.48,0.46,0.751424471,,,
강남순환TG옆2 (암반층),,,4.202449735,26,0.14,1.711678986,,,
강남원효성빌라,37.4965396,126.9962188,12.36022939,19.09,0,1.361874727,,,
강남주공아파트(관측종료),,,2.700941915,5.92,1.27,0.427316358,,,
강덕근린공원(능골공원),37.3703113,127.116656,15.42931989,42.26,1.11,1.998871098,,,
강동도시농업공원,37.5343049,127.1514512,9.641484158,15.46,3.88,2.366912688,,,
강변삼성레미안,37.5339344,126.9485559,15.47313866,17.96,13.35,0.652728422,,,
강북도시농업체험장,37.6444906,127.010823,4.756813922,6,0.03,0.730820464,,,
강서고등학교,37.5364895,126.8663661,2.761994373,33,0,3.345546646,,,
강서구청,37.5509103,126.8495742,13.87172829,19,13,0.574099137,,,
개웅산근린공원,,,4.295721212,8.72,-0.15,0.88933274,,,
개포상록아파트,,,12.68595062,13.79,10.97,0.80243235,,,
거북약수터,37.6057516,126.9413609,5.736552133,59.97,1.51,6.392535512,,,
건영섬유,37.4990279,127.1420176,3.690629171,30,0,3.472667618,,,
경남아파트,35.3763461,128.147727,6.539414862,17,0,3.353020272,,,
경문고등학교,37.4925398,126.9815837,8.491236863,15.05,3.49,2.39059059,,,
경인중학교,37.498177,126.8542754,5.090583571,10.28,0,1.860974131,,,
경찰기마대,,,12.27666078,40,0,5.391989542,,,
경찰병원(관측종료),,,39.6599216,59.83,0,21.015218,,,
경춘숲공원(암반층),,,5.519295393,15.34,3.9,3.095209568,,,
경춘숲공원(충적층),,,5.452262873,15.5,3.79,3.105420936,,,
고척경남아파트,,,18.82939236,23.57,0,1.396226125,,,
고척삼명아파트,,,4.881263158,18.69,0,1.208651403,,,
광장동주민센터,37.5468884,127.102999,12.94962941,15.26,10.14,1.164249633,,,
광진구청,37.5383742,127.0822077,27.65011507,70,14.18,10.31279087,,,
광희초등학교,37.5672007,127.0151603,18.03417975,27.55,7.32,2.951991225,,,
교수아파트,36.3843798,127.3732696,0.342464841,41.19,0,1.127505186,,,
구로구청,37.4954703,126.8876391,14.0123035,29.7,11.9,1.450712022,,,
국세청 우편물 자동화센터,37.5801791,127.0225967,4.741618644,7.65,2.11,0.713066194,,,
군인아파트,,,11.31943309,39.81,7.9,2.328153501,,,
군자초등학교,,,7.411940976,14,0,1.079029381,,,
궁동종합사회복지관,37.4990741,126.8296929,3.151004739,14.39,0,0.620089736,,,
금암문화공원,37.6443428,126.9179372,6.12728355,40,4.07,3.755618847,,,
까치산마을공원,,,1.925509451,37.72,0.4,1.223570733,,,
남대문중학교,37.6185645,127.0558985,6.409395712,7.32,0,1.463882254,,,
남사초등학교,37.1135314,127.1481473,5.33010395,6.8,3.95,0.626391001,,,
남산한옥마을,37.559315,126.994477,8.746835017,49.96,0,10.72654348,,,
내곡동텃밭,37.4550628,127.0695079,6.523436966,30,2.25,3.303437341,,,
넓은마당공원,35.9476207,128.5763893,5.994292984,14.54,0.25,1.415733526,,,
노원골 화장실,37.653359,127.059598,25.86845433,35.22,13.84,5.851181185,,,
농촌경제연구원(관측종료),35.0221976,126.7774921,6.984851024,40,0,3.100315961,,,
뉴월드빌딩,37.4959308,126.8894524,18.10871642,19.26,15.49,1.004011578,,,
느티나무공원,37.3818928,126.9589705,6.869192761,17.47,-8.71,1.08065806,,,
느티나무집,,,2.066694021,2.83,1.36,0.235178407,,,
다남사우나(관측종료),,,1.940669014,7.8,0,0.857894846,,,
다솜공원(관측종료),,,6.279678625,26.51,0,2.184821734,,,
답십리래미안위브,37.5720374,127.053952,7.364222656,8.65,0,1.678288336,,,
당곡고교 후문 입구,37.4916265,126.9346703,6.879607595,19.26,1.99,1.085804711,,,
